"newBatterySoc";"energyConsumption";"powerProduction";"selfUsedEnergy";"selfUsedEnergyPV";"selfUsedEnergyBattery";"feedInEnergyGrid";"gridUsedEnergy";"missedInverterPower";"missedBatteryPower";"missedFeedInPowerGrid";"lossesUnloadBattery";"lossesLoadBattery";"lossesPvGeneration";"losses";"dayTime"
"142.65302499187771";"882.2136750081226";"0";"873.4002052580411";"0.8667000000000001";"872.533505258041";"0";"8.813469750081481";"0";"0";"0";"8.81346975008123";"0";"0.13330000000000053";"8.94676975008123";"20200101:00"
"0";"620.4880068995935";"0";"142.09319474195894";"0.8667000000000004";"141.22649474195893";"0";"478.3948121576346";"0";"0";"0";"1.4265302499187784";"0";"0.13329999999999942";"1.559830249918778";"20200101:01"
"7.693845560652335e-16";"546.343790216107";"0";"0.8666999999999997";"0.8666999999999997";"0";"0";"545.477090216107";"0";"0";"0";"0";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999953";"20200101:02"
"7.693845560652335e-16";"528.9181909033981";"0";"0.8667000000000005";"0.8666999999999997";"7.616907105045811e-16";"0";"528.0514909033981";"0";"0";"0";"7.693845560652341e-18";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999956";"20200101:03"
"7.693845560652335e-16";"528.9181909033981";"0";"0.8667000000000005";"0.8666999999999997";"7.616907105045811e-16";"0";"528.0514909033981";"0";"0";"0";"7.693845560652341e-18";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999956";"20200101:04"
"0";"586.6618435278647";"0";"0.8667000000000015";"0.8667000000000007";"7.616907105045811e-16";"0";"585.7951435278646";"0";"0";"0";"7.693845560652341e-18";"0";"0.1332999999999993";"0.1332999999999993";"20200101:05"
"1.099120794378905e-16";"1040.7524609119837";"0";"0.8667000000000005";"0.8667000000000005";"0";"0";"1039.8857609119837";"0";"0";"0";"0";"1.099120794378906e-18";"0.13329999999999942";"0.13329999999999942";"20200101:06"
"1.099120794378905e-16";"1688.9164196611737";"0";"0.8667000000000005";"0.8667000000000004";"1.0881295864351159e-16";"0";"1688.0497196611736";"0";"0";"0";"1.099120794378906e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200101:07"
"40.14836362937156";"1838.571566699732";"502.03999999999996";"420.09079441230625";"420.09079441230625";"1.0881295864351159e-16";"0";"1418.480772287426";"0";"0";"0";"1.099120794378906e-18";"0.401483636293716";"41.39530293176284";"41.79678656805656";"20200101:08"
"809.6082068976768";"1723.7676182865914";"1976.65";"1116.9109051835933";"1077.1640251905155";"39.74687999307784";"0";"606.8567131029981";"0";"0";"0";"0.401483636293716";"8.096082068976775";"81.69990723607361";"90.1974729413441";"20200101:09"
"1978.5991644053345";"1599.738352590252";"2851.28";"1584.3674134293124";"963.1864316365779";"621.1809817927344";"0";"15.370939160939542";"0";"0";"0";"6.274555371643788";"17.964464946720376";"73.50114950278021";"97.74016982114438";"20200101:10"
"3477.2679045005084";"1597.346603664978";"3176.4900000000002";"1576.7778969416145";"962.2178490047941";"614.5600479368203";"0";"20.568706723363448";"0";"0";"0";"6.207677251887079";"21.194364652838832";"73.42723656704334";"100.82927847176924";"20200101:11"
"4823.0256454686905";"1740.8515391814037";"3171.5600000000004";"1716.6211589754673";"1084.3987637900377";"632.2223951854296";"0";"24.2303802059364";"0";"0";"0";"6.38608479985283";"19.843662209534667";"82.75091201454438";"108.98065902393188";"20200101:12"
"5754.71359872179";"1806.4537954174843";"2831.39";"1788.299866489365";"1172.750076781412";"615.5497897079531";"0";"18.153928928119285";"0";"0";"0";"6.217674643514683";"15.534554176045681";"89.49303674932844";"111.24526556888881";"20200101:13"
"5977.440866556282";"1621.9474497535082";"1927.76";"1613.865103214526";"1010.9226868865128";"602.9424163280132";"0";"8.082346538982165";"0";"0";"0";"6.090327437656705";"8.31760011600163";"76.67568523453406";"91.0836127881924";"20200101:14"
"4517.290651631909";"1461.0169149243736";"0";"1446.4154127751292";"0.8667000000000004";"1445.5487127751292";"0";"14.601502149244425";"0";"0";"0";"14.601502149243743";"0";"0.13329999999999953";"14.734802149243743";"20200101:15"
"3105.658772048804";"1412.4985795831055";"0";"1398.3822607872737";"0.8666999999999999";"1397.5155607872737";"0";"14.11631879583183";"0";"0";"0";"14.116318795831061";"0";"0.13329999999999964";"14.249618795831061";"20200101:16"
"1458.9521409530755";"1647.573331095727";"0";"1631.1062647847714";"0.8666999999999999";"1630.2395647847713";"0";"16.467066310955715";"0";"0";"0";"16.4670663109573";"0";"0.13329999999999997";"16.6003663109573";"20200101:17"
"0";"2146.0821428063587";"0";"1445.2293195435448";"0.8667000000000001";"1444.3626195435447";"0";"700.8528232628139";"0";"0";"0";"14.589521409530768";"0";"0.13329999999999986";"14.722821409530768";"20200101:18"
"-4.39648317751562e-16";"2530.8120413575384";"0";"0.8667000000000004";"0.8667000000000004";"0";"0";"2529.9453413575384";"0";"0";"0";"0";"0";"0.13330000000000009";"0.13330000000000009";"20200101:19"
"1.0991207943789052e-16";"2404.391026735925";"0";"0.8666999999999999";"0.8667000000000004";"-4.3525183457404636e-16";"0";"2403.524326735925";"0";"0";"0";"-4.396483177515624e-18";"1.0991207943789062e-18";"0.13329999999999953";"0.13329999999999953";"20200101:20"
"-2.19824158875781e-16";"2003.2605641257253";"0";"0.8667000000000004";"0.8667000000000002";"1.0881295864351161e-16";"0";"2002.3938641257253";"0";"0";"0";"1.0991207943789062e-18";"0";"0.13329999999999997";"0.13329999999999997";"20200101:21"
"1.099120794378905e-16";"1688.5747412432775";"0";"0.8667000000000001";"0.8667000000000004";"-2.1762591728702318e-16";"0";"1687.7080412432774";"0";"0";"0";"-2.198241588757812e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200101:22"
"2.1982415887578097e-16";"1286.0775649614925";"0";"0.8667000000000002";"0.8667000000000001";"1.0881295864351159e-16";"0";"1285.2108649614925";"0";"0";"0";"1.099120794378906e-18";"2.1982415887578117e-18";"0.13329999999999964";"0.13329999999999964";"20200101:23"
"-6.594724766273429e-16";"869.516170720829";"0";"0.8667000000000004";"0.8667000000000001";"2.1762591728702315e-16";"0";"868.649470720829";"0";"0";"0";"2.1982415887578117e-18";"0";"0.13330000000000053";"0.13330000000000053";"20200102:00"
"2.19824158875781e-16";"611.5574616688713";"0";"0.8666999999999997";"0.8667000000000004";"-6.528777518610695e-16";"0";"610.6907616688712";"0";"0";"0";"-6.5947247662734354e-18";"2.198241588757812e-18";"0.13329999999999942";"0.13329999999999942";"20200102:01"
"7.693845560652335e-16";"538.4803861280426";"0";"0.8666999999999999";"0.8666999999999997";"2.1762591728702318e-16";"0";"537.6136861280426";"0";"0";"0";"2.198241588757812e-18";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999953";"20200102:02"
"7.693845560652335e-16";"521.3055895723638";"0";"0.8667000000000005";"0.8666999999999997";"7.616907105045811e-16";"0";"520.4388895723638";"0";"0";"0";"7.693845560652341e-18";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999956";"20200102:03"
"7.693845560652335e-16";"521.3055895723638";"0";"0.8667000000000005";"0.8666999999999997";"7.616907105045811e-16";"0";"520.4388895723638";"0";"0";"0";"7.693845560652341e-18";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999956";"20200102:04"
"0";"578.218150707848";"0";"0.8667000000000015";"0.8667000000000007";"7.616907105045811e-16";"0";"577.351450707848";"0";"0";"0";"7.693845560652341e-18";"0";"0.1332999999999993";"0.1332999999999993";"20200102:05"
"1.099120794378905e-16";"1025.773143305827";"0";"0.8667000000000005";"0.8667000000000005";"0";"0";"1024.906443305827";"0";"0";"0";"0";"1.099120794378906e-18";"0.13329999999999942";"0.13329999999999942";"20200102:06"
"1.099120794378905e-16";"1664.6082230337176";"0";"0.8667000000000005";"0.8667000000000004";"1.0881295864351159e-16";"0";"1663.7415230337176";"0";"0";"0";"1.099120794378906e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200102:07"
"-3.517186542012496e-15";"1812.1094169824871";"20.98";"18.183365999999978";"18.183365999999978";"1.0881295864351159e-16";"0";"1793.9260509824871";"0";"0";"0";"1.099120794378906e-18";"0";"2.796634000000026";"2.796634000000026";"20200102:08"
"458.5371025982848";"1698.957816145075";"1502.28";"965.8538692271655";"965.8538692271655";"-3.482014676592371e-15";"0";"733.1039469179094";"0";"0";"0";"-3.517186542012499e-17";"4.585371025982852";"73.25734026951648";"77.84271129549933";"20200102:09"
"152.02434312469518";"1576.713675954656";"789.02";"1032.4110218688577";"578.4592902965558";"453.9517315723019";"0";"544.3026540857984";"0";"0";"0";"4.585371025982852";"1.520243431246953";"57.000767153247125";"63.10638161047693";"20200102:10"
"87.35329340189014";"1574.35635093721";"613.94";"629.0527695886598";"478.5486698952115";"150.50409969344824";"0";"945.3035813485502";"0";"0";"0";"1.520243431246953";"0.8735329340189023";"47.1556802038894";"49.54945656915526";"20200102:11"
"852.7850138187227";"1715.7958519839754";"2016.3500000000001";"1160.0067113825141";"1073.5269509146428";"86.47976046787124";"0";"555.7891406014612";"0";"0";"0";"0.8735329340189022";"8.527850138187235";"81.42404522806146";"90.82542830026759";"20200102:12"
"79.35347713226543";"1780.453909605354";"605.9100000000001";"1322.8519152325546";"478.594751552019";"844.2571636805355";"0";"457.6019943727995";"0";"0";"0";"8.527850138187235";"0.7935347713226553";"47.16022104165239";"56.48160595116228";"20200102:13"
"16.41545865050432";"1598.603122545227";"332.84";"352.6613824696378";"274.101440108695";"78.55994236094277";"0";"1245.9417400755892";"0";"0";"0";"0.7935347713226549";"0.16415458650504333";"42.15728852715921";"43.11497788498691";"20200102:14"
"0";"1439.988824942783";"0";"17.11800406399928";"0.8666999999999999";"16.251304063999278";"0";"1422.8708208787837";"0";"0";"0";"0.16415458650504333";"1.5543122344752205e-17";"0.13329999999999964";"0.297454586505043";"20200102:15"
"1.099120794378905e-16";"1392.168803160305";"0";"0.8666999999999998";"0.8666999999999998";"0";"0";"1391.302103160305";"0";"0";"0";"0";"1.099120794378906e-18";"0.13330000000000009";"0.13330000000000009";"20200102:16"
"1.099120794378905e-16";"1623.8601763035779";"0";"0.8667";"0.8666999999999999";"1.0881295864351159e-16";"0";"1622.9934763035778";"0";"0";"0";"1.099120794378906e-18";"1.099120794378906e-18";"0.13329999999999997";"0.13329999999999997";"20200102:17"
"0";"2115.1940620826986";"0";"0.8667000000000002";"0.8667000000000001";"1.0881295864351159e-16";"0";"2114.3273620826985";"0";"0";"0";"1.099120794378906e-18";"0";"0.13329999999999986";"0.13329999999999986";"20200102:18"
"0";"2494.3866291747413";"0";"0.8667000000000001";"0.8667000000000001";"0";"0";"2493.5199291747413";"0";"0";"0";"0";"0";"0.13329999999999986";"0.13329999999999986";"20200102:19"
