"newBatterySoc";"energyConsumption";"powerProduction";"selfUsedEnergy";"selfUsedEnergyPV";"selfUsedEnergyBattery";"feedInEnergyGrid";"gridUsedEnergy";"missedInverterPower";"missedBatteryPower";"missedFeedInPowerGrid";"lossesUnloadBattery";"lossesLoadBattery";"lossesPvGeneration";"losses";"dayTime"
"142.65302499187771";"882.2136750081226";"0";"873.4002052580411";"0.8667000000000001";"872.533505258041";"0";"8.813469750081481";"0";"0";"0";"8.81346975008123";"0";"0.13330000000000053";"8.94676975008123";"20200101:00"
"0";"620.4880068995935";"0";"142.09319474195894";"0.8667000000000004";"141.22649474195893";"0";"478.3948121576346";"0";"0";"0";"1.4265302499187784";"0";"0.13329999999999942";"1.559830249918778";"20200101:01"
"7.693845560652335e-16";"546.343790216107";"0";"0.8666999999999997";"0.8666999999999997";"0";"0";"545.477090216107";"0";"0";"0";"0";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999953";"20200101:02"
"7.693845560652335e-16";"528.9181909033981";"0";"0.8667000000000005";"0.8666999999999997";"7.616907105045811e-16";"0";"528.0514909033981";"0";"0";"0";"7.693845560652341e-18";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999956";"20200101:03"
"7.693845560652335e-16";"528.9181909033981";"0";"0.8667000000000005";"0.8666999999999997";"7.616907105045811e-16";"0";"528.0514909033981";"0";"0";"0";"7.693845560652341e-18";"7.693845560652341e-18";"0.13329999999999953";"0.13329999999999956";"20200101:04"
"0";"586.6618435278647";"0";"0.8667000000000015";"0.8667000000000007";"7.616907105045811e-16";"0";"585.7951435278646";"0";"0";"0";"7.693845560652341e-18";"0";"0.1332999999999993";"0.1332999999999993";"20200101:05"
"1.099120794378905e-16";"1040.7524609119837";"0";"0.8667000000000005";"0.8667000000000005";"0";"0";"1039.8857609119837";"0";"0";"0";"0";"1.099120794378906e-18";"0.13329999999999942";"0.13329999999999942";"20200101:06"
"1.099120794378905e-16";"1688.9164196611737";"0";"0.8667000000000005";"0.8667000000000004";"1.0881295864351159e-16";"0";"1688.0497196611736";"0";"0";"0";"1.099120794378906e-18";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200101:07"
"52.22755910106979";"1838.571566699732";"557.6800000000001";"459.6331271821175";"459.6331271821175";"1.0881295864351159e-16";"0";"1378.9384395176146";"0";"0";"0";"1.099120794378906e-18";"0.5222755910106983";"45.29176261478176";"45.81403820579246";"20200101:08"
"1024.4580068976768";"1723.7676182865914";"2193.67";"1128.8693087005747";"1077.1640251905155";"51.70528351005909";"0";"594.8983095860167";"0";"0";"0";"0.5222755910106983";"10.244580068976777";"81.69990723607361";"92.46676289606108";"20200101:09"
"2508.635137562588";"1599.738352590252";"3164.52";"1579.3396260036309";"963.1864316365779";"616.153194367053";"0";"20.398726586621024";"0";"0";"0";"6.2237696400712474";"21.065540946720375";"73.50114950278021";"100.79046008957184";"20200101:10"
"4358.557017097183";"1597.346603664978";"3524.61";"1570.229700896588";"962.2178490047941";"608.0118518917938";"0";"27.11690276838999";"0";"0";"0";"6.141533857492871";"24.64075265283884";"73.42723656704334";"104.20952307737505";"20200101:11"
"6057.851654009886";"1740.8515391814037";"3520.09";"1708.2138849903909";"1084.3987637900377";"623.815121200353";"0";"32.63765419101287";"0";"0";"0";"6.3011628404076125";"23.294109209534657";"82.75091201454438";"112.34618406448665";"20200101:12"
"7306.998534132028";"1806.4537954174843";"3145.17";"1781.5513068890127";"1172.750076781412";"608.8012301076008";"0";"24.902488528471622";"0";"0";"0";"6.149507374824255";"18.640976176045687";"89.49303674932844";"114.28352030019838";"20200101:13"
"7742.353778924472";"1621.9474497535082";"2141.66";"1613.0067960261554";"1010.9226868865128";"602.0841091396425";"0";"8.94065372735281";"0";"0";"0";"6.081657668077202";"10.435210116001645";"76.67568523453406";"93.1925530186129";"20200101:14"
"6282.203564000099";"1461.0169149243736";"0";"1446.4154127751292";"0.8667000000000004";"1445.5487127751292";"0";"14.601502149244425";"0";"0";"0";"14.601502149243743";"0";"0.13329999999999953";"14.734802149243743";"20200101:15"
"4870.571684416994";"1412.4985795831055";"0";"1398.3822607872737";"0.8666999999999999";"1397.5155607872737";"0";"14.11631879583183";"0";"0";"0";"14.116318795831061";"0";"0.13329999999999964";"14.249618795831061";"20200101:16"
"3223.865053321265";"1647.573331095727";"0";"1631.1062647847714";"0.8666999999999999";"1630.2395647847713";"0";"16.467066310955715";"0";"0";"0";"16.4670663109573";"0";"0.13329999999999997";"16.6003663109573";"20200101:17"
"1078.6496105149067";"2146.0821428063587";"0";"2124.6299883782945";"0.8667000000000001";"2123.7632883782944";"0";"21.452154428064205";"0";"0";"0";"21.4521544280636";"0";"0.13329999999999986";"21.5854544280636";"20200101:18"
"0";"2530.8120413575384";"0";"1068.7298144097576";"0.8667000000000004";"1067.8631144097576";"0";"1462.0822269477808";"0";"0";"0";"10.786496105149077";"0";"0.13330000000000009";"10.919796105149077";"20200101:19"
"1.099120794378905e-16";"2404.391026735925";"0";"0.8667000000000004";"0.8667000000000004";"0";"0";"2403.524326735925";"0";"0";"0";"0";"1.099120794378906e-18";"0.13329999999999953";"0.13329999999999953";"20200101:20"
"-2.19824158875781e-16";"2003.2605641257253";"0";"0.8667000000000004";"0.8667000000000002";"1.0881295864351159e-16";"0";"2002.3938641257253";"0";"0";"0";"1.099120794378906e-18";"0";"0.13329999999999997";"0.13329999999999997";"20200101:21"
